url,Title,Course Headline,Instructor,Rating,Price,length,number_of_lectures,difficulty
https://www.udemy.com/course/java-for-absolute-beginners/,Java for Absolute Beginners,"A course on Java for complete beginners to computer programming, for those who want concepts explained in plain English.",Nick H,4.7,Current price₹455,8.5 total hours,121 lectures,Beginner
https://www.udemy.com/course/learn-java-programming-crash-course/,Learn Java Programming Crash Course,This Java For Beginners Course Includes Java Basics And Core Java Skills Training To Make You A Software Developer Fast,"Tim Buchalka, Goran Lochert, Tim Buchalka's Learn Programming Academy",4.6,Current price₹455,12.5 total hours,148 lectures,Beginner
https://www.udemy.com/course/learn-java-se-8-and-prepare-for-the-java-associate-exam/,Complete Java SE 8 Developer Bootcamp - OCA Prep Included,"Master the Foundations of Java and the Topics of the Oracle Certified Associate, Java SE 8 Programmer Exam (1Z0-808)","Intertech Training, Jeff Jensen",4.5,Current price₹455,12 total hours,165 lectures,All Levels
https://www.udemy.com/course/c-programming-for-beginners-/,C Programming For Beginners - Master the C Language,C Programming will increase career options.  Become a better dev in other languages by learning C.   Pointers explained,"Tim Buchalka's Learn Programming Academy, Jason Fedin",4.4,NULL,24 total hours,137 lectures,All Levels
https://www.udemy.com/course/datastructurescncpp/,Mastering Data Structures & Algorithms using C and C++,"Learn, Analyse and Implement Data Structure using C and C++. Learn Recursion and Sorting.",Abdul Bari,4.6,NULL,58.5 total hours,390 lectures,All Levels
https://www.udemy.com/course/microcontroller-embedded-c-programming/,Microcontroller Embedded C Programming: Absolute Beginners,Foundation course on Embedded C programming  using STM32 Microcontroller.,"FastBit Embedded Brain Academy, Kiran Nayak",4.6,NULL,16.5 total hours,192 lectures,Beginner
https://www.udemy.com/course/advanced-c-programming-course/,Advanced C Programming Course,Become a True Master of the C Programming Language - Confidently Apply for Real Time or Embedded C Jobs or contracts!,"Tim Buchalka's Learn Programming Academy, Jason Fedin",4.5,NULL,28 total hours,169 lectures,Intermediate
https://www.udemy.com/course/c-programming-for-beginners-programming-in-c/,Complete C Programming Course - C Language for Students,C Programming 2021: Master the Fundamentals of C Programming Language for Beginner Students in College/University,Vlad Budnitski,4.5,NULL,33.5 total hours,301 lectures,All Levels
https://www.udemy.com/course/multithreading_parta/,Part A - Multithreading & Thread Synchronization - C/C++,"Linux POSIX Threads ( Pthreads ), thread Synchronization, Operating System Concepts, C/C++ programming with Projects","Abhishek CSEPracticals, Shiwani Nigam, Ekta Ekta",4.6,NULL,12 total hours,124 lectures,Beginner
https://www.udemy.com/course/the-complete-c-programming-bootcamp/,The Complete C Programming Bootcamp,"Master C programming in Visual Studio Code. Learn pointers, macro and low level data manipulation. Embedded ready.",Byte Garage,4.5,NULL,25 total hours,160 lectures,All Levels
https://www.udemy.com/course/c-programming-for-beginners/,C Programming For Beginners,"Learn C in ten easy steps on Windows, Mac OS X or Linux",Huw Collingbourne,4.4,NULL,8 total hours,76 lectures,All Levels
https://www.udemy.com/course/advanced-c-programming-pointers/,Advanced C Programming: Pointers,"Master pointers, addresses and memory allocation in C",Huw Collingbourne,4.7,NULL,4 total hours,65 lectures,Intermediate
https://www.udemy.com/course/c-for-technical-interview/,C Programming Step by Step - Complete Tutorial For Beginners,"C language tutorial from basics with C operator,loop,array,pointer,function,parameter,string,recursion,structure,file.",Shibaji Paul,4.4,NULL,17.5 total hours,153 lectures,All Levels
https://www.udemy.com/course/beg-modern-cpp/,Complete Modern C++ (C++11/14/17),"Learn about move semantics, lambda expressions, smart pointers, concurrency, template, STL & more",Umar Lone,4.5,NULL,20 total hours,232 lectures,All Levels
https://www.udemy.com/course/c-programming-the-best-approach-to-learn-c-language/,C Programming:The best approach to learn C Language,Become a master of C Programming Language in an informal and practical way,Insculpt Technologies,4.3,NULL,5 total hours,72 lectures,All Levels
https://www.udemy.com/course/linuxipc/,Linux Inter Process Communication (IPC) from Scratch in C,"Linux Course - Includes Socket Programming, Linux System Programming, C programming - From Beginner to Expert","Abhishek CSEPracticals, Shiwani Nigam, Ekta Ekta",4.5,NULL,9 total hours,74 lectures,All Levels
https://www.udemy.com/course/the-complete-c-programming-course-for-beginners/,The Complete C Programming Course for Beginners,C Programming: The Fundementals of C Programming Language from Ground UP with Illustrated + Hands on Coding Expalanation,Md. A. Barik,4.2,NULL,6.5 total hours,96 lectures,Beginner
https://www.udemy.com/course/c-programming-made-easy/,C PROGRAMMING made easy,Beginners first step to Coding world,Meganadha Reddy,4.5,NULL,5.5 total hours,30 lectures,Beginner
